berth,ship,start_date,end_date,cargo,loa_ft,imo,notes
6,Franziska Schulte,2026-07-01,2026-07-03,Lumber,591,,
6,Industrial Momentium,2026-07-07,2026-07-15,NOV Pipe,482,,
6,Ethane Pear,2026-07-22,2026-07-22,Layberth,747,,Cancelled
6,Star Minerva,2026-07-29,,Alum,,,"raw dates ""7/29-4/2/26""; end date malformed, likely 8/2"
6,Aracari Arrow,2026-09-08,2026-09-09,Alum/Lum,,,
5,Cape Vincent,2026-07-04,2026-07-07,842nd / Military,632,,
5,Delta Gracht,2026-07-09,2026-07-10,Project,515,,
5,Thorco Liva,2026-07-24,2026-07-25,Project,432,,
5,Star Dalmatia,2026-08-09,2026-08-11,,656,,cargo not listed
5,Star Hidra,2026-09-05,2026-09-08,,650,,cargo not listed
4,Robin Marie/Joni Lee,2026-06-29,2026-07-01,Layberth,781,,
4,M/V Devbulk Servet,2026-07-04,2026-07-10,Pellets,590,,
4,Saga Beija Flor,2026-07-19,2026-07-21,Pulp,,,
4,Yasa Magnolia,2026-07-28,,Pellets,590,,"raw dates ""7/28-19/2026""; end day 19 < start day 28, likely 7/29"
4,Saga Flora,2026-08-08,2026-08-10,Pulp,,,
3,BBC Xingang,2026-07-08,2026-07-12,185' Pipe,413,,
3,MT Falkanger,2026-07-14,2026-07-16,Layberth,597,,
3,Bow Cheetah,2026-07-22,2026-07-25,Lightering,512,,2 barges
2,Couechevel,2026-07-05,2026-07-07,Layberth,623,,
2,BBC Vaasa,2026-07-17,2026-07-20,Project,483,,
2,Star Ismene,2026-07-24,2026-07-26,Pulp/Lum,650,,
2,Industrial Eva,2026-07-28,2026-07-30,Entergy,,,
2,Barge UMS,,,185' Pipe,270,,"raw ""Barge UMS-7/TBA/26""; day TBA. Docking tab calls it ""Barge UMS-72"" - name vs. date split is ambiguous"
1,General McArthur,2026-07-09,2026-07-11,Layberth,500,,
1,MTM Southport,2026-07-15,2026-07-16,Layberth,481,,
1,Dodge Island,2026-07-22,2026-07-23,Layberth,281,,
1,Industrial Color,2026-08-03,2026-08-04,Entergy,,,
